DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,104.38,105.50,97.50,100.25,31888,0
20010103,100.06,115.50,98.88,115.50,70551,0
20010104,113.75,116.75,111.00,112.75,58130,0
20010105,109.06,110.00,105.75,107.88,41908,0
20010108,106.50,107.31,102.63,106.38,39738,0
20010109,107.63,108.50,103.31,104.75,51804,0
20010110,102.25,108.69,102.25,108.50,27159,0
20010111,108.50,112.13,107.50,110.50,36439,0
20010112,110.19,110.88,108.75,108.75,16829,0
20010115,108.75,108.75,108.75,108.75,0,0
20010116,108.81,113.00,108.06,110.00,22354,0
20010117,109.81,114.88,109.31,109.94,31805,0
20010118,109.50,109.88,107.28,107.50,25479,0
20010119,108.00,111.00,107.81,110.94,27344,0
20010122,110.94,110.94,110.94,110.94,0,0
20010123,113.56,116.25,113.44,116.00,32596,0
20010124,115.00,120.00,114.00,117.88,50838,0
20010125,117.88,117.88,113.13,113.56,72316,0
20010126,113.00,115.00,111.56,114.81,24343,0
20010129,117.16,118.97,115.31,117.84,1594000,0
20010130,118.81,120.19,114.19,119.94,1692500,0
20010131,118.62,119.70,113.08,113.75,3429600,0
20010201,114.90,118.50,114.50,118.20,2581100,0
20010202,117.60,118.60,113.95,113.96,3020000,0
20010205,113.75,114.00,111.25,112.10,2532600,0
20010206,112.95,112.95,108.35,108.95,2237600,0
20010207,109.40,117.87,104.08,105.20,3037400,0
20010208,105.70,108.45,105.30,105.95,2623200,0
20010209,105.10,109.00,103.10,107.75,2689600,0
20010212,107.70,109.50,105.50,109.50,2838200,0
20010213,109.90,110.50,105.00,105.90,2190900,0
20010214,106.45,106.45,103.39,104.00,6912700,0
20010215,104.40,108.24,103.90,107.20,2987800,0
20010216,104.50,105.30,101.30,101.50,2584100,0
20010219,101.50,101.50,101.50,101.50,0,0
20010220,102.10,102.10,94.35,95.00,4914700,0
20010221,96.00,98.60,93.61,94.40,4231900,0
20010222,94.41,97.50,91.30,97.20,4493700,0
20010223,96.30,97.10,90.25,96.04,4337600,0
20010226,96.29,98.50,92.63,98.30,3879100,0
20010227,97.75,100.50,96.51,98.34,4096100,0
20010228,97.01,97.01,91.30,91.75,4723600,0
20010301,89.05,91.80,87.21,91.62,5240200,0
20010302,90.00,93.60,89.10,91.40,4066000,0
20010305,91.40,93.00,88.78,92.15,2827300,0
20010306,93.95,97.50,93.35,95.35,3137100,0
20010307,95.11,95.65,92.66,94.60,3761700,0
20010308,94.85,95.70,90.65,91.72,3074900,0
20010309,91.61,91.62,86.91,87.00,2951000,0
20010312,86.05,86.50,81.65,82.49,4809500,0
20010313,84.75,87.74,83.60,87.51,3925900,0
20010314,84.90,87.89,83.12,83.91,6327800,0
20010315,86.00,89.91,85.85,88.00,8417100,0
20010316,90.50,91.00,87.05,87.55,4342400,0
20010319,89.00,91.55,88.25,90.94,3198600,0
20010320,92.00,92.45,87.06,87.06,7133800,0
20010321,87.10,89.50,84.85,85.00,4666500,0
20010322,84.75,89.00,81.00,85.91,5756400,0
20010323,87.50,89.81,86.90,89.81,4002900,0
20010326,89.81,92.50,88.57,88.84,2802500,0
20010327,87.76,93.50,87.40,93.50,3676800,0
20010328,92.00,92.00,86.50,87.25,4094100,0
20010329,86.80,89.65,86.00,88.10,3460100,0
20010330,87.91,89.47,85.10,85.10,2846600,0
20010402,84.10,87.20,84.10,84.16,2939800,0
20010403,84.00,84.60,81.00,81.30,3198100,0
20010404,80.61,81.75,77.20,77.53,6117500,0
20010405,80.00,86.00,80.00,86.00,5140700,0
20010406,84.00,85.55,82.83,84.20,4425200,0
20010409,85.75,87.25,82.61,84.00,2878500,0
20010410,85.60,89.48,85.51,87.81,2938800,0
20010411,91.40,91.95,89.50,91.30,5208300,0
20010412,89.60,94.00,89.11,94.00,3024400,0
20010416,94.00,94.25,91.78,91.78,2708300,0
20010417,90.80,94.50,90.65,93.10,2811200,0
20010418,95.21,102.50,95.21,99.65,5917900,0
20010419,98.05,99.89,95.50,97.69,3867200,0
20010420,95.50,96.40,94.50,95.66,4167700,0
20010423,94.00,94.60,92.50,92.96,2057400,0
20010424,92.70,93.74,91.16,91.40,2786500,0
20010425,90.01,93.30,89.75,92.82,3089700,0
20010426,92.50,96.10,91.51,92.49,3984000,0
20010427,92.00,94.69,92.00,92.94,6934700,0
20010430,95.08,95.08,91.00,91.10,2659200,0
20010501,90.00,93.10,89.29,92.65,3766100,0
20010502,94.50,98.50,94.01,98.00,4388200,0
20010503,96.15,96.74,95.10,96.00,3072900,0
20010504,94.25,97.80,94.03,97.20,6822600,0
20010507,96.20,98.05,95.69,96.00,5021300,0
20010508,96.10,96.55,95.02,95.25,1933100,0
20010509,94.95,96.15,94.46,94.66,1822800,0
20010510,95.91,97.65,94.49,94.51,1925600,0
20010511,94.40,97.00,92.50,92.85,2474200,0
20010514,92.40,94.25,92.30,94.10,1506700,0
20010515,94.11,95.74,93.20,94.85,2463700,0
20010516,94.60,99.95,92.50,99.95,3060900,0
20010517,99.10,100.50,97.86,97.95,2249900,0
20010518,97.90,97.90,96.75,97.25,1784900,0
20010521,97.75,101.99,97.00,101.90,2307000,0
20010522,102.60,105.15,102.35,103.29,2933700,0
20010523,102.30,102.30,99.20,99.30,3159600,0
20010524,99.00,100.25,98.05,99.85,1815000,0
20010525,99.90,99.90,97.52,97.96,1179000,0
20010528,97.96,97.96,97.96,97.96,0,0
20010529,97.51,97.60,95.21,96.88,5592100,0
20010530,95.55,96.60,94.42,94.75,2114100,0
20010531,94.56,95.85,94.50,95.10,1798400,0
20010601,95.49,96.40,93.90,96.36,1806400,0
20010604,96.21,96.90,95.25,96.53,4722700,0
20010605,97.10,98.14,97.00,97.35,953300,0
20010606,96.30,96.30,94.69,95.54,6745700,0
20010607,95.54,97.07,94.56,96.90,1412400,0
20010608,96.90,96.90,95.25,95.36,2807000,0
20010611,95.21,95.60,91.91,92.01,2637700,0
20010612,91.20,91.95,90.06,91.85,2444700,0
20010613,91.56,92.98,89.07,89.16,2167800,0
20010614,89.03,89.40,87.00,87.01,2660400,0
20010615,86.75,90.00,86.06,89.29,5777600,0
20010618,88.80,89.79,88.00,88.65,1799400,0
20010619,90.50,91.50,87.75,88.18,14854100,0
20010620,87.60,89.00,86.43,88.40,3526100,0
20010621,87.76,93.51,87.76,93.00,3838700,0
20010622,92.45,92.85,91.10,92.10,20327600,0
20010625,92.85,92.85,90.60,90.95,1220700,0
20010626,86.90,90.25,86.90,90.25,2915100,0
20010627,89.01,91.50,87.50,87.50,3381900,0
20010628,88.10,89.85,86.24,86.60,5601300,0
20010629,87.00,87.24,84.51,85.85,4348600,0
20010702,85.85,85.85,84.45,84.60,2429400,0
20010703,84.60,85.15,83.76,84.00,1789700,0
20010704,84.00,84.00,84.00,84.00,0,0
20010705,83.75,85.39,83.50,84.00,4932800,0
20010706,83.71,83.75,81.70,83.10,5934000,0
